job_id,title,company,location,postal_code,contract_type,contract_type_label,experience_level,publication_date,update_date,description,source_url,source,department_code,city,experience_level_standardized
206CVLZ,Data Analyst Power BI (H/F),SEGMENT ELITE,75 - Paris,75009,CDI,CDI,5 An(s),2026-03-27 16:10:52.762000+00:00,2026-03-30 15:43:12.234000+00:00,"Nouvelle Opportunité - Data Analyst Power BI Localisation: checy Date de début: ASAP Description du Projet: Concevoir, développer et maintenir des tableaux de bord Power BI à destination de la Direction Générale. Accompagner les métiers dans la transformation de leurs usages historiques vers une logique Power BI. Mettre en production et assurer le RUN. Compétences Requises: Power BI Environnement Techniques: Power BI, Excel, SAS Expérience: 5",https://candidat.francetravail.fr/offres/recherche/detail/206CVLZ,France Travail,75,Paris,Senior
205TWCT,Data Analyst Tableau Power BI (H/F),CIORANE,92 - La Garenne-Colombes,92250,CDI,CDI,3 An(s),2026-03-22 23:16:00.623000+00:00,2026-03-23 14:53:01.967000+00:00,"Nous recherchons un Data Analyst confirmé pour intervenir sur un projet stratégique de migration de solutions décisionnelles au sein d'un grand compte du secteur de l'énergie. Au sein d'une équipe data, vous participerez à la migration et à la refonte de tableaux de bord existants vers un nouvel environnement BI. Vos missions : - Analyse des dashboards existants - Migration de rapports Tableau vers Power BI - Optimisation et fiabilisation des données - Création et évolution de tableaux de bord - Collaboration avec les équipes métiers et techniques Profil recherché : - Expérience confirmée en tant que Data Analyst - Excellente maîtrise de Tableau - Excellente maîtrise de Power BI - Très bonne maîtrise de SQL - Capacité à comprendre les enjeux métiers et à les traduire en indicateurs Environnement technique : - Tableau - Power BI - SQL",https://candidat.francetravail.fr/offres/recherche/detail/205TWCT,France Travail,92,La Garenne-Colombes,Confirmé
205PTRK,Business Data Analyst / Data Product Analyst - Power BI (H/F),Non renseigné,75 - Paris,75016,CDI,CDI,3 An(s),2026-03-18 10:29:21.420000+00:00,2026-03-18 10:42:53.148000+00:00,"Qui sommes-nous ? Winside Technology est une ESN créée en 2020. Fruit de la collaboration entre trois associés partageant des valeurs humaines communes, Winside place au cœur de son identité la bonne ambiance au travail, alliée aux résultats ! Actuellement implantée à Paris, Lille, Bordeaux et au Maroc, nous gagnons du terrain pour être au plus proche de nos clients. Et aujourd'hui, c'est à Lyon que l'aventure continue avec l'ouverture d'une toute nouvelle agence qui s'appuie sur un modèle éprouvé, une structure solide et un panel de clients déjà établi. Dans ce cadre nous cherchons aujourd'hui les piliers techniques de notre réussite de demain. En participant dès maintenant à ce nouveau chapitre de l'histoire Winside, vous aurez l'occasion de forger avec nous le visage et l'avenir de l'agence lyonnaise ! Notre objectif est de favoriser une synergie où chacun trouve sa place, contribuant ainsi à l'épanouissement collectif et à la réussite commune. On t'embarque dans l'aventure Winside Rejoindre la communauté des Winsiders, c'est commencer une belle aventure au sein d'une société en pleine évolution, qui a à cœur de créer une structure centrée sur ses collaborateurs, sur le respect d'autrui, sur la progression technique de chacun et le bien-être commun. En route vers une démarche inclusive et éthique Soucieuse des sujets environnementaux et sociétaux, l'évolution de notre société passe aussi par des moments de sensibilisation aux problématiques du handicap, du climat, de la parité homme-femme... Nous sommes en plein développement de notre démarche RSE. Ce que l'on attend de toi . Dans le cadre du renforcement de sa plateforme Data et de ses produits analytiques, un acteur reconnu du secteur des services aux bâtiments intelligents recherche un Business Data Analyst / Data Product Analyst pour accompagner la conception et l'amélioration de dashboards et indicateurs décisionnels. Vous interviendrez au sein d'une équipe Data pluridisciplinaire composée de Data Engineers, d'un Product Owner Data et des équipes métiers afin de structurer les besoins analytiques et garantir la qualité des produits data livrés. L'enjeu : transformer les besoins métiers en produits analytiques fiables, compréhensibles et utiles à la décision. Missions Principales : Recueil et cadrage des besoins Animer les échanges avec les équipes métiers pour comprendre les besoins analytiques et les enjeux business Formaliser les besoins et structurer les exigences fonctionnelles Identifier les sources de données et les référentiels de vérité Conception des produits analytiques Définir les KPIs et les règles de calcul associées Concevoir des maquettes de dashboards Power BI réalistes et orientées utilisateur Décrire les spécifications fonctionnelles à destination des Data Engineers Validation et qualité des données Participer aux phases de tests et validation des développements Vérifier la cohérence et la qualité des données produites Contrôler la conformité des visualisations avec les besoins exprimés Collaboration Data Travailler en étroite collaboration avec les Data Engineers, le Product Owner Data et les équipes métiers Contribuer à l'amélioration continue des produits data Profil recherché 3 à 7 ans d'expérience en Business Analysis ou Data Analysis Expérience dans un environnement data, BI ou analytics Compétences techniques Très bonne culture Data et produits analytiques Bonne maîtrise de SQL (lecture, compréhension, validation des données) Bonne connaissance de Power BI et compréhension de la structure des rapports - Capacité à concevoir des maquettes de dashboards Compétences fonctionnelles Capacité à structurer un besoin métier complexe Traduction des besoins en exigences fonctionnelles claires Capacité à challenger les demandes métiers Soft skills Autonomie et rigueur Excellent relationnel Capacité à évoluer da",https://candidat.francetravail.fr/offres/recherche/detail/205PTRK,France Travail,75,Paris,Confirmé
204CVYL,Data Analyst (VBA / SAS Guide / Power BI) (CDD 6 mois à Rouen) (H/F),MATMUT MUTUALITE,76 - Rouen,76000,CDD,CDD - 6 Mois,2 An(s),2026-02-16 15:05:43.126000+00:00,2026-03-16 12:34:10.137000+00:00,"Rattaché(e) au Pôle Projets, Process et Reporting de Matmut Protection Juridique, vous contribuez aux côtés d'un DATA ANALYST expérimenté à l'amélioration ainsi qu'au développement des outils permettant à la filiale d'optimiser ses processus et d'en favoriser la mise en œuvre. Dans ce cadre, vous serez notamment amené(e) à : - Analyser les besoins des utilisateurs et mettre en œuvre les évolutions nécessaires des outils - Modéliser les maquettes des outils à créer - Étudier et produire des indicateurs de suivi PAS JUSTE UN PROFIL ! Avoir le bon profil pour la Matmut, ce n'est pas qu'une question de compétences. Nous recherchons la personne qui partagera nos valeurs mutualistes et s'épanouira à nos côtés. Doté(e) d'une expérience en développement informatique, vous démontrez une réelle appétence pour la mise en œuvre d'outils informatiques. Vous disposez de bonnes connaissances concernant Excel (VBA), SAS Guide et Power BI. La connaissance des outils de gestion sinistre serait un plus. - Vous travaillez avec rigueur, en garantissant la fiabilité des livrables et le respect des processus. - Vous avez un esprit d'entraide et aimez travailler avec des interlocuteurs variés. - Vous aimez le challenge et avez envie de participer à la création de nouveaux outils et de reporting. - Vous faites preuve d'anticipation et de réactivité face aux évolutions et aux changements. PAS JUSTE UN METIER ! « Nous assurons, nous accompagnons, nous protégeons, nous nous engageons pour aider chacun à construire et rêver demain. » C'est notre Raison d'être, notre raison d'agir au quotidien. PAS JUSTE UN SALAIRE ! Travailler chez nous, c'est aussi bénéficier d'avantages qui favorisent votre épanouissement : Matmut Académie (formations et parcours professionnels) Salaire autour de 36 - 45 K€ selon profil et expérience Intéressement et participation aux résultats Jusqu'à 2 jours de télétravail par semaine (après 6 mois d'ancienneté) Mutuelle santé à 4 € par mois Remboursement des frais de transport public à hauteur de 75 % Comité Social et Économique (CSE) proposant de nombreux avantages Nous vous offrons une formation complète, un tutorat de proximité et un environnement de travail favorisant l'esprit d'équipe. De quoi grandir, en restant toujours motivé(e) !",https://candidat.francetravail.fr/offres/recherche/detail/204CVYL,France Travail,76,Rouen,Junior
206CFMR,Consultant.e Power BI (H/F),HORISIS CONSEIL,75 - Paris 10,75010,CDI,CDI,Débutant accepté,2026-03-27 11:31:44.393000+00:00,2026-03-30 14:24:50.082000+00:00,"En tant que Consultant.e Power BI F/H, vous serez amené.e à intervenir dans les domaines suivants, en fonction des besoins spécifiques du client : Créer des rapports et tableaux de bord interactifs Power BI Préparer, nettoyer et transformer les données Modéliser et optimiser des modèles de données avancés conformément aux bonnes pratiques BI Concevoir des mesures, colonnes calculées et tables calculées répondant aux besoins métiers Exploiter des sources de données multiples Contribuer à la recette des données et des fichiers Mettre en place la documentation fonctionnelle et techniques associée aux développements BI",https://candidat.francetravail.fr/offres/recherche/detail/206CFMR,France Travail,75,Paris 10,Junior
205WXXN,Data analyst (H/F),ATC FRANCE,92 - Bagneux,92220,CDI,CDI,10 An(s),2026-03-24 11:04:53.017000+00:00,2026-03-30 10:51:04.028000+00:00,Missions principales : 1. Géomarketing et études de marché: - Analyser les données géographiques pour identifier les tendances et opportunités de marché - Fournir des recommandations basées sur l'analyse des données géospatiales 2. Création de reporting : - Concevoir et automatiser des rapports réguliers pour suivre les performances clés de l'entreprise - Utiliser des outils de visualisation de données pour présenter les résultats de manière claire et concise - Collaborer avec les équipes internes pour comprendre leurs besoins en reporting et fournir des solutions adaptées 3. Data Governance : - Assurer la qualité et l'intégrité des données en mettant en place des processus de gouvernance des données - Développer et maintenir des politiques et des procédures de gestion des données - Former et sensibiliser les équipes internes aux bonnes pratiques de gestion des données,https://candidat.francetravail.fr/offres/recherche/detail/205WXXN,France Travail,92,Bagneux,10 An(S)
205SMHW,Lead IT Business Analyst - e-Commerce / Mobile App (H/F),INFORMATIS TECHNOLOGY SYSTM,75 - Paris,Non renseigné,CDI,CDI,5 An(s),2026-03-20 09:42:56.841000+00:00,2026-03-26 10:29:44.268000+00:00,"Au sein de la Digital Factory et de la Direction IT d'un acteur majeur du digital, vous intervenez en tant que Lead Business Analyst sur le périmètre e-Commerce et Mobile App. Vous rejoignez l'équipe Business Analysis e-Commerce, dont l'objectif est de concevoir et améliorer une expérience utilisateur omnicanale innovante. Vos missions Pilotage & coordination - Encadrer et accompagner une équipe de 2 Business Analysts Mobile App - Participer au pilotage des sujets e-Commerce et mobile - Collaborer étroitement avec Product Owner, Product Manager, architectes et équipes techniques Analyse & conception - Recueillir, analyser et challenger les besoins métiers - Animer les ateliers de conception (e-Merchandising, Marketing, Paiement, Logistique, etc.) - Proposer des solutions techniques adaptées et des évolutions pertinentes - Modéliser les processus (diagrammes de flux, séquences) Spécifications & delivery - Rédiger les spécifications fonctionnelles et techniques (Confluence) - Formaliser les user stories (Jira) - Participer à la priorisation des besoins - Contribuer à la documentation fonctionnelle Tests & qualité - Participer à la stratégie de tests - Rédiger et exécuter les scénarios de tests - Valider les fonctionnalités en lien avec les équipes QA et Produit Run & amélioration continue - Contribuer à la stabilisation et à l'optimisation de la plateforme e-Commerce - Identifier les axes d'amélioration et les optimisations techniques Environnement technique - Salesforce Commerce Cloud (OCAPI, SCAPI) - APIs : REST, SOAP - Outils : Jira, Confluence, Postman - Formats : JSON, XML - Mobile : iOS, Android - Cloud : Microsoft Azure - Écosystème : Cegid, Manhattan (OMS/DOM/MAO) Compétences requises : Profil recherché - Minimum 5 ans d'expérience en Business Analysis IT e-Commerce - Expérience significative sur Salesforce Commerce Cloud - Expertise sur des architectures headless et APIs - Expérience sur des projets Mobile App e-Commerce - Compétences en modélisation des flux et processus - Expérience en pilotage et management d'équipe Formation & compétences - Bac+4/5 (école d'ingénieur, commerce ou informatique) - Bonne compréhension des architectures SI e-Commerce - Maîtrise des web services (REST / SOAP) - À l'aise avec la manipulation de données (JSON, XML) - Expérience avec OMS appréciée Langues - Français courant - Anglais professionnel Soft skills - Excellent relationnel et sens du service - Forte capacité d'analyse et de synthèse - Leadership et esprit d'équipe - Appétence pour le digital, le e-Commerce et l'innovation",https://candidat.francetravail.fr/offres/recherche/detail/205SMHW,France Travail,75,Paris,Senior
205GKQB,GESTIONNAIRE FORMATION EXPERT ORIENTE DATA F/H (H/F),GENERALI,93 - St Denis,93380,CDD,CDD - 6 Mois,2 An(s),2026-03-11 10:58:24.479000+00:00,2026-03-20 15:23:54.780000+00:00,"Generali Avec plus de 71 millions de clients et un chiffre d'affaires de 95,2 milliards d'euros en 2024, Generali est l'un des leaders de l'assurance et de la gestion d'actifs dans le monde. Assureur responsable, nous plaçons la durabilité au cœur de notre stratégie. Notre direction La Direction des Relations humaines et de l'Organisation pilote la gestion RH, le développement RH, les relations sociales et la santé au travail accompagne la transformation de l'Entreprise. L'Académie Generali France, et plus particulièrement l'Académie des Réseaux de distribution a en charge l'accompagnement de la montée en compétence des réseaux de distribution, Agents Généraux, Courtiers, CGPI, Partenaires. Vos missions Vous intégrez une équipe de 13 personnes en charge de la mise en œuvre du PDF (plan de formation) des Intermédiaires. (12000 JH) Le département conçoit, réalise, anime et assure la gestion et le pilotage du PDF pour les populations non salariées, Agents Courtiers CGPI Partenaires. Les formations sont réalisées en format présentiel Classe virtuelle ou Elearning Au sein de cette équipe, vous serez plus particulièrement en charge de la mise en œuvre et du suivi du PDF en accompagnement de la stratégie commerciale des réseaux de distribution. Il s'agira de la mise en œuvre de projets spécifiques et adaptés aux enjeux et spécificités des réseaux de distribution et notamment suivre le parcours d'intégration des nouveaux agents. Planification et gestion du parcours de formation d'intégration 600h des futurs agents généraux Generali. Plus précisement vous serez en charge de : - Mise en œuvre et pilotage d'un nouveau parcours de formation à destination des inspecteurs : - Créer les différentes sessions dans l'outil LMS : cours présentiels, classes virtuelles et elearning. - Sécuriser le bon déroulement des formations : préparer l'arrivée sur site des stagiaires et des intervenants : - Répondre aux différents besoins de logistique (accès aux locaux, réservation des salles, restauration sur place, reprographie.) - Piloter et assurer l'historisation des sessions dans l'outil LM Vos principales missions sont : Planification des formations Suivi des dossiers dans le respect de la procédure QUALIOPI Sécurisation des stages. Suivi en amont de la disponibilité des formateurs Gestion logistique des stagiaires Il s'agira de la mise en œuvre de projets spécifiques et adaptés aux enjeux et spécificités des réseaux de distribution et notamment suivre le parcours d'intégration des nouveaux agents. Vous serez en charge de l'optimisation et la sécurisation des informations liéées à l'activité de formation dans le cadre de la réglementation de la distribution de l'assurance (DDA) et de la réglementation de la formation (QUALIOPI). En ce sens vous serez en charge d'établir des reporting quantitatifs et qualitatifs (gestion de la présence des stagiaires, réponses aux attentes, conformité des attentes (analyse des données) sur une population de plus de 20 000 stagiaires. Profil recherché Vous êtes titulaire d'un Master de gestion de données / data analyst. Vous bénéficiez d'une première expérience dans le secteur de l'assurance. Vous bénéficiez d'une première expérience dans le secteur de la formation pour adulte. Vous êtes à l'aise sur l'outil SuccessFactor (Salesforce). Vous maitrisez Power BI et Excel Avancé. Nous rejoindre, c'est : intégrer une entreprise dynamique qui place l'innovation et la durabilité au cœur de sa stratégie relever des challenges, faire preuve d'initiative et organiser son travail en mode hybride construire sa carrière et développer ses compétences se nourrir des différences de chacun dans une entreprise qui mène des actions concrètes en faveur de la diversité, l'équité et l'inclusion avoir la possibilité de s'engager au sein de notre fondation The Human Safety Net, pour soutenir les personnes vu",https://candidat.francetravail.fr/offres/recherche/detail/205GKQB,France Travail,93,St Denis,Junior
0879649,"Consultant Senior ou Manager Data Analyst & BI - secteur Financier, H/F",EY,75 - Paris,Non renseigné,CDI,CDI,3 An(s),2026-03-28 08:31:19+00:00,2026-03-28 08:31:19+00:00,"Selon votre parcours, vos expériences et votre expertise, vous serez amené(e) à apporter vos compétences à des équipes engagées sur des missions de conseil de différentes natures : ? Accompagnement des clients dans leur programme d'optimisation des processus avec la Data ? Conception, développement et implémentation d'outils BI (solutions de reporting, d'aide à la décision, de datavisualisation) dans les domaines du customer, du digital, de la conformité., en s'appuyant sur des technologies low-code (Microsoft Power Platform, Tableau, Dataiku, .) ou «?pro-dev?» (Python, SQL, .) ? Conception et mise en œuvre de solutions de valorisation de la donnée depuis l'idéation jusqu'à l'industrialisation (étude de faisabilité, préparation des données, modélisation.) ? Définition de stratégie BI / automatisation de nos clients (cas d'usage, trajectoires, roadmap.)?et accompagnement à la transformation ? Conception et mise en place de solutions d'analyse statistique ? Étude et choix de solutions et de plateformes big data, analytics. ? Veille sur l'évolution des méthodes, des pratiques, des outils. Vous pourrez continuer de développer des compétences dans les domaines de votre choix grâce à l'approche de formation continue d'EY.",https://candidat.francetravail.fr/offres/recherche/detail/0879649,France Travail,75,Paris,Confirmé
0787379,"Consultant Expérimenté & Manager en « Data Analyst & BI » - Secteur Financier, H/F",EY,75 - Paris,Non renseigné,CDI,CDI,3 An(s),2026-03-26 12:03:43+00:00,2026-03-28 08:31:19+00:00,"L'opportunité En travaillant dans une équipe en croissance sur les différents métiers Data & Analytics et Innovation, vous participez au développement des missions à forte valeur ajoutée auprès de nos clients (gestion de la donnée, processus de transformation, définition de moyen, architecture, robotics, analyse quantitative, datamining, big data, algorithmique, blockchain, intelligence artificielle, digital, .). Votre champ d'intervention s'étendra véritablement au niveau mondial et vous pourrez acquérir une expérience précieuse, bénéficiant de vastes possibilités de développement professionnel, tout en disposant de tout le soutien dont vous avez besoin pour atteindre votre potentiel. Cette annonce est destinée aux candidats spécialisés en Analyse de la donnée et en BI, mais nous recherchons des profils expérimentés et mobilisables sur le spectre élargi des métiers de la data. Vos missions · Conception, développement et implémentation d'outils ou de solutions de reporting, d'aide à la décision, de visualisations de données dans les domaines du customer, du digital, de la conformité. · Conception et mise en œuvre de solutions de valorisation de la donnée depuis l'idéation jusqu'à l'industrialisation en passant par les études de faisabilité, la préparation des données et la modélisation · Définition de stratégie data des clients (cas d'usage, trajectoires, roadmap.) · Conception et mise en place de solutions d'analyse statistique. · Cartographie des processus de transformation de données · Etudes et choix de solutions et de plateformes big data, analytics. · Veille sur l'évolution des méthodes, des pratiques, des outils. Vous pourrez continuer de développer des compétences dans les domaines de votre choix grâce à l'approche de formation EY.",https://candidat.francetravail.fr/offres/recherche/detail/0787379,France Travail,75,Paris,Confirmé
